dp,mp,ep,pp,op,mb,time,comp,dp_wait,mp_wait,ep_wait,sp_wait,pp_wait,op_wait
64,1, 1, 1,64,  8,  35965, 28178,0.0,   0.0, 0.0,0.0,0.0,  4212
32,2, 1, 1,32, 16,  48651, 31934,0.0,  3579, 0.0,0.0,0.0,  3754
16,4, 1, 1,16, 32,  90261, 40269,0.0, 11753, 0.0,0.0,0.0,  7107
8, 8, 1, 1, 8, 64, 196837, 54543,0.0, 48793, 0.0,0.0,0.0, 34875
4,16, 1, 1, 4,128, 352926, 90110,0.0, 94813, 0.0,0.0,0.0, 61382
2,32, 1, 1, 2,256, 668533,147062,0.0,199898, 0.0,0.0,0.0,122240
1,64, 1, 1, 1,512,1038634,273482,0.0,349300, 0.0,0.0,0.0,  3198
