dp,mp,ep,pp,op,mb,time,comp,dp_wait,mp_wait,ep_wait,sp_wait,pp_wait,op_wait
2, 2, 4, 8, 4, 24, 7213, 1854, 75, 248,     480,    153,    4240,   4
8, 2, 8, 2, 4, 6,  5310, 2723, 70, 86,      540,    282,    830,    702
4, 4, 8, 2, 4, 12, 5256, 2965, 59, 89,      542,    320,    429,    710
4, 1, 4, 8, 4, 12, 7477, 1676, 99, 0,       489,    0,      5162,   6
8, 1, 8, 4, 4, 6,  5714, 2275, 56, 0,       457,    0,      2869,   7
8, 1, 8, 4, 4, 6,  5726, 2273, 56, 0,       459,    0,      2866,   4
4, 2, 8, 4, 4, 12, 5591, 2385, 50, 138,     453,    246,    2203,   10
