dp,mp,pp,mb,ep,time
8,8, 1,1,8, 136
8,8, 1,1,16,369
8,8, 1,1,32,256
8,8, 1,1,64,147
4,8, 2,2,16,316
4,8, 2,2,32,141
2,16,2,4,32,331
2,16,2,4,16,252
